title,label_score
"Siap Diteken, KPK Optimis Revisi UU Masih Bisa Dibatalkan",1
AS Sanksi Menteri Keamanan Zimbabwe,0
"Daftar Harga Mobil Bekas Rp 100 Jutaan, Ada Avanza dan Xenia Juga",1
"Dari 12 Indikator Daya Saing, Indonesia Hanya Unggul 1 Sektor",0
"De Gea Perpanjang Kontrak, Solskjaer: Kami Membutuhkannya",1
Momen Gemas Saat Nastusha Cemburu Jika Ada yang Deketin Chelsea Olivia,1
Verratti Tak Sabar Lakoni Laga Perdana Liga Champions Kontra Madrid ,1
"Peran Wagub Jabar Dinilai ""Ban Serep""",0
"Raffi Ahmad Kaget Marshanda Sebut 2 Kata Ini untuk Barbie Kumalasari, Ibunda Sienna Beri Penjelasan",1
Oknum yang Tunggangi Demo Mahasiswa di Medan Ternyata Anggota Jaringan Teroris,1
"Pemprov Jabar Teken Kerja Sama dengan Grab, Ini Programnya",0
"Tips untuk Bermain Auto Chess Mobile, Gunakan 4 Cara Ini!",1
"Jepang Ingin Buang Air Tercemar Radioaktif Fukushima ke Laut, Korsel Cemas",0
Asus Rilis Duo Laptop VivoBook dengan Bingkai Layar Tipis,0
Thareq Habibie: Kesehatan Bapak Mulai Stabil ,0
"Mantap, Perluasan Ganjil-genap di DKI Bikin Warga Pindah Naik MRT",1
Mbah Mijan Sebut Kecelakaan di Jalan Narogong Akibat Pesugihan Tumbal Otak,0
"Jelang Persija Vs Bali United Liga 1 2019, Spasojevic: Laga Nanti Tak Akan Berjalan Mudah",1
"Gaya Manja Tyas Mirasih Main Bareng Kucing, Masih Tetap Seksi",1
Anak Habibie: Bapak Suka Lupa Sudah Usia 80-an Tahun,0
"Mantab Berhijab dan Buka Usaha Fashion, Cut Meyriska Inspirasi Nina Zatulini",0
Toleransi Beragama Indonesia Menginspirasi Uni Eropa,0
"UU Pemasyarakatan Direvisi, Syarat Remisi Koruptor dan Teroris Dipermudah",0
Wokee Seru Bonus Saldo Pembukaan Rekening Rp25 Ribu,1
Ini Modal Desa Kutuh Bisa Raup Puluhan Miliar Rupiah,1
"Menu Hari Ini Serba Telur: Telur Dadar Cabai, Telur Balado dan Sup Telur",0
"Rupiah Akhir Pekan Dibuka Lesu, Pounds Bangkit",0
"BJ Habibie Pernah Menginisiasi Mobil Nasional, Namanya Maleo",0
RS Yarsi Gelar MCU Geriatri Gratis untuk Veteran,0
"Terancam Hukuman Mati, Zul Zivilia Mengaku Amat Rindu Anak-Anaknya",0
"Ditinggal Suami Wafat, Suyanti Usaha Perabotan Rumah Tangga",0
Warga Bandung yang Beli Properti di Australia Naik,0
Indonesia vs Thailand: Tak Seramai Saat Jamu Malaysia,0
"Kabut Asap Melanda, Kenali Gejala ISPA yang Mengintai Anda",1
Wiranto: Habibie Ingin Seluruh Anak Bangsa Jaga Keutuhan Negeri,1
Gyuri Eks Kara Jadi Bahan Gosip Gara-Gara Pacari Cucu Konglomerat,1
Juventus tak Tertarik Lepas Douglas Costa,0
Penemuan Air di Planet Berpotensi Layak Huni Mirip Bumi Buka Peluang Riset Alien?,1
"5 OOTD Angela Lee Pakai Baju Ketat, Bikin Ogah Kedip!",1
"Kapolda Jateng: Ledakan Berasal dari Gudang Penyimpanan Bahan Peledak, 1 Brimob Terluka",0
"Infrastruktur Kelistrikan, PLN UIP JBB Sumbang Daya 354 MVA",0
"Syahrini Tampil Vintage saat Kunjungi Kantor Shopee, Sebut Kabar Hamil Hanya Gosip",0
Hatem Ben Arfa dan 7 Pemain Bintang yang Tak Punya Klub,1
Polisi Tangkap 2 Pembakar Lahan di OKI,0
DPR Bentuk Pansus Pemindahan Ibu Kota,0
Warga Bagi-bagi Masker di Lapangan Merdeka Medan,0
"Miris, Kota Depok tak Memiliki Sekolah MAN dan MI Negeri ",1
Gubernur Khofifah Inden Mobil Esemka untuk Dipakai Pribadi,1
Pangeran Harry Beri Tanda Meghan Markle Sudah Melahirkan?,1
"Sebulan Perluasan Ganjil Genap, DKI Catat Penurunan Angka Polusi",0
Beredar Kabar Bebby Fey Ternyata Janda Dan Punya Anak Umur 9 Tahun,1
Waspadai Gerakan yang Berpotensi Ganggu Ideologi Negara,1
Via Vallen Senang Dangdut Rajai Musik Indonesia,0
"Dilarang Ngobrol Saat Mengukur Tekanan Darah, Apa Sebabnya",1
"Jack Ma Putuskan Pensiun, Alibaba Bakal Hadapi Kondisi Sulit?",1
"Selesai Isi BBM, Mobil Pikap Terbakar di Kota Blitar",1
"Kisaran Harga Motor Bebek Bekas, Masih Ada yang Rp 4 Juta",0
Ketimpangan Ekonomi dan Paradoks Robin Hood,0
KPAI Dorong Belajar Metode Daring untuk Anak Korban Kabut Asap,0
"Omnibus ala Jokowi, Babat 74 Undang-Undang demi Investasi",1
Gubernur Sumut : Omong Kosong Kita Bisa Membangun Bila Tidak Sehat,1
"Wakaf Kolektif, Cara Nurul Huda Kembangkan Pesantren ",0
"Kereta Semicepat vs Pesawat, Ini yang Akan Diminati Versi Wapres JK",1
Kegagalan Penalti Reus Warnai Hasil Imbang Dortmund-Barcelona,0
"Buka Luwur Sunan Kudus, Ribuan Paket Nasi Berkat Dibagikan",0
"Deretan KPOP Idol Paling Bersinar, Mana yang Ingin Kamu Tonton Konsernya?",1
BJ Habibie Sudah Siapkan Makam Sebelah Ainun Sebelum Meninggal,0
Joaquin Phoenix dan Robert De Niro Ternyata Tak Saling Bicara di Lokasi Syuting 'Joker',1
Polisi Cek Kebenaran Kasus Bocah di Bekasi yang Disebut Tewas Akibat Bully,0
"Belum Teridentifikasi, 4 Korban Kecelakaan Cipularang Diduga Perempuan",0
"Babak Pertama Timnas U-16 Vs Filipina, Athallah Bawa Indonesia Unggul",0
Bikin Adem! Polwan Surabaya Lantunkan Asmaul Husna Sambut Pendemo,1
"Balita di Bogor Tewas di Tangan Ibu Tiri, Ini Kata Ibu Kandungnya",1
Demokrat Siap Bangun Museum dan Galeri Presiden SBY,0
"Jakarta Siap Jadi Tuan Rumah Formula E 2020, Anies Bakal Renovasi Aspal Jalan",0
"Perluasan Sistem Ganjil Genap, Pendapatan Penjual Pelat Nomor Naik 50 Persen",0
"Terima Kasih Sudah Singgah di Hidupku, meski Hanya sebagai Sahabat",0
"Kabut Asap Riau, Masker N95 Bisa Melindungi asal Pakainya Benar",0
Pimpinan Baru KPK Siap Jawab Keraguan Masyarakat,1
"Staf Presiden Berkunjung ke Banyuwangi, Ini Lho Tujuannya",1
Ramos: Pintu Real Madrid Selalu Terbuka untuk Pogba,0
Guru yang Berhijrah,1
"Kecanduan Seks, Ibu Satu Anak Ini Pernah Tidur dengan Lebih dari 100 Orang",1
Augie Fantinus Kaget Dengar Kabar Imam Nahrawi Ditetapkan sebagai Tersangka Korupsi oleh KPK,1
Din Syamsuddin Melayat ke Rumah Duka Habibie,0
Topan Faxai Putus Pasokan Listrik Hampir 1 Juta Rumah di Jepang,0
"Terlalu Banyak Makan Sate Kambing, Penyebab Rossa Harus Dirawat di Singapura",0
"Tira Persikabo Vs Persib, Ardi Idrus Ogah Seperti Putaran Pertama",0
"Revisi UU KPK Dinilai Untungkan Mafia Tambang, Ini Penjelasannya",1
5 Fakta Demo Ricuh di Depan Gedung KPK,1
"Ibu dari Bocah Korban Bully Ungkap Hal Aneh sebelum Anaknya Meninggal, Ditolak Sejumlah Rumah Sakit",1
Anies Perintahkan Wali Kota Jaktim Perbaiki Trotoar Kalimalang yang Berada di Tengah Jalan,0
VIDEO: Warteg Terbakar di Jakarta Barat,1
"30 Orang Jadi Tersangka Kerusuhan di Papua Barat dan 12 DPO, Ini Perannya...",1
Catatan Buruk Ronaldo Berlanjut di Markas Atletico Madrid,0
Simpang Tiga Gejayan Masih Jadi Panggung Orasi Demo Mahasiswa,0
Barang Ini Langsung Terjual Ludes Usai Dipakai Suzy di 'Vagabond',1
"Revisi UU KPK, Pembahasan di Baleg DPR Disebut Dinamis",0
"Imam Nahrawi Pamit dengan Pegawai Kemenpora: Dulu Mengawali Salat di Masjid, Mengakhiri di Sini Juga",1
KEIN Jabarkan Berbagai Dampak Buruk Baju Bekas Impor,1
5 Ganda Putra Terakhir Indonesia yang Juara China Open,1
Wapres Kalla Beberkan Mana Poin Revisi UU KPK yang Disetujui dan Tidak,0
"Lulu Tobing Pajang Foto Dipeluk Erat Suami, Kecantikannya Sukses Curi Perhatian Disebut Nggak Luntur",1
Puskesmas Cilincing: Banyak Warga Mengeluh Batuk Dampak Industri Peleburan Alumunium,0
Revisi UU 30/2002 Dinilai Tidak Akan Membuat KPK Mati,0
Kenapa Ada Perempuan Hamil Tak Sadar sedang Mengandung?,1
Serangan Burung Magpie Tewaskan Pesepeda di Australia,0
Cerita SBY tentang Kedekatannya dengan BJ Habibie,1
Mahasiswa UGM Menangi Geology Open Challenge 2019,0
Begini Usaha Perusahaan Startup Jerman Untuk Raih Talenta Terbaik,0
"Samsung Galaxy A10s, A30s, A50s Rilis Hari Ini, Bisa Pre-Order",0
"Tampil Apik, De Bruyne Disebut Gelandang Terbaik di Dunia",0
"Per 17 Oktober, Produk Makanan Minuman Wajib Bersertifikat Halal",0
Ini Link Live Streaming Timnas Indonesia Vs Thailand,1
"Rilis 2020, Game Dragon Ball Z: Kakarot Sudah Bisa Dicoba di TGS 2019 ",0
Akhirnya Meghan Markle dan Pangeran Harry Temukan Pengasuh untuk Baby Archie,0
Simon McMenemy Merasa Masih Layak Latih Timnas Indonesia,0
"Program Kemitraan, Upaya Mendikbud Tingkatkan Mutu Pendidikan",0
" Tuai Kritik Pedas, Ustadz Yusuf Mansur Beri Komentar Bijak",1
"Detik-Detik Gajah Mengamuk di Pawai Buddha Sri Lanka, 18 Orang Terluka",1
Nicky Tirta Cari Pelarian ke Masak dan Belum Minat Cari Istri Baru,1
"Suhu Panas, Udara Kering Saat Kemarau, Waspada Diare Hingga Parkinson, Dampaknya Bisa ke Otak",1
"Guru Besar USU : Wali Kota Gagal, Medan Jadi Kota Tak Layak Huni",0
Tips Merawat dan Menata Rambut Tipis Agar Tampak Bervolume,1
Demo Mahasiswa Tolak Pelemahan KPK di Bintan Ricuh,0
Bekraf dan Gojek Adakan Pelatihan Digital untuk UMKM Agar Naik Kelas,0
Joker Dinobatkan Jadi Film Terbaik di Festival Film Venesia,0
"Hambat Investasi, Sofyan Djalil Batalkan Rencana Pajak Progresif Tanah",0
Eropa Dorong Adanya Dialog untuk Selesaikan Ketegangan dengan Iran ,0
"Hasil Liga Inggris: Ditahan Watford 2-2, Arsenal Gagal ke 4 Besar",0
Kritik Bagi Pimpinan KPK yang Tak Lagi Seirama...,1
Kisah Kesetiaan BJ Habibie kepada Ainun hingga Ajal Menjemput,1
"Baru Sepekan Dilantik, Sudah 15 Anggota DPRD Kota Tasikmalaya Gadaikan SK-nya ke Bank",1
"Fakta-fakta Pedangdut Xena Xenita, Sebelum Dihukum karena Berzina, Pernah Dipenjara 7 Bulan",1
Ini Manfaat Mengonsumsi Vitamin C Secara Teratur bagi Tubuh,1
"Bakal Terapkan Jalan Berbayar, Pengamat: Tangerang Lebih Maju",0
"Aksi #SurabayaMenggugat Dimulai, 'Mars Mahasiswa' Berkumandang Kencang",0
Menteri Pendidikan Minta Kepala Daerah Larang Siswa Ikut Demo,0
3 Zodiak Paling Pemalu,1
"Anggap SP3 untuk KPK Penting, Wapres Singgung Kasus RJ Lino",0
Gubernur Banten Berduka Atas Wafatnya BJ Habibie,0
"Tanggapi Soal RUU Pertanahan, Menteri ATR: Menurut Kita Nggak Ada Masalah",0
Desainer di Balik Pilihan Sepatu Taylor Swift yang Keren,1
"Barcelona Ditahan Dortmund, Valverde Bahas Tampilan Lionel Messi",0
Mahasiswa Trisakti Tolak Pemberian Gelar Putera Reformasi untuk Jokowi,0
Orang yang Mulia ,1
"Imam Nahrawi Resmi Jadi Tersangka, Iwan Fals Unggah Foto Bareng: Melenggang Sendiri Tanpa Pengawalan",1
"Ganjil Genap Tak Efektif Atasi Kemacetan, DKI Disarankan Terapkan ERP",0
"Perluasan Ganjil Genap, Dishub: Volume Lalu Lintas Turun Signifikan",0
Ramos Sebut Bek Liverpool Lebih Pantas Menangkan Ballon d'Or ketimbang Cristiano Ronaldo,1
"Prihatin Dengan Kerusuhan Di Papua, Arie Kriting Ikut Orasi Di Istana Presiden",1
"Nafsu Makan Meningkat, Waspadai 7 Penyakit Ini",1
"Pose Sensual Kejutkan Fans, Rose BLACKPINK Malah Dikritik Gara-Gara Jaket Bulu Hewan",1
"Sandiaga Uno Kembali ke Gerindra, Peluang Balik Jadi Wagub DKI?",1
Yamaha Tantang Komunitas Balapan Ketahanan,0
"Pasca Serangan Kilang Minyak Saudi, Ancaman Skenario Militer Menghantui",0
Pendiri Kaskus Andrew Darwis Dilaporkan Atas Kasus Pemalsuan ,0
"BMKG Catat Gempa M 5.6 Guncang Tuban Jawa Timur Siang Ini, Tidak Berpotensi Tsunami",0
"Gara-Gara Kabut Asap, Garuda Batalkan 15 Penerbangan hingga 19 September",0
"MUI Sumut Buka Suara, Bolu Meranti Belum Penuhi Syarat Standar Jaminan Halal",0
Wanita Rusia yang Dituduh Sebagai Agen Rahasia Tiba di Moskow,1
JK Jenguk Habibie di RSPAD Gatot Soebroto,0
"Calon Pimpinan KPK Disyaratkan Tanda Tangan Surat Bermeterai, Setuju atau Tidak dengan Revisi UU KPK",1
"Setelah 12 Tahun Berkarier, Tiffany Young Ungkap Skoliosis yang Dideritanya",0
Freeport dapat Tambahan Kuota Ekspor 500 Ribu Ton,0
"Sering Tampil Branded, Harga Kaus Kaki Agnez Mo Sukses Bikin Syok",1
"Persib Vs Semen Padang 1-1, Benarkah Ada Upaya Walk Out?",1
MotoGP: Ini Perbedaan Jorge Lorenzo dan Marc Marquez,1
"Aura Jennifer Dunn Makin Cantik, Perut Buncit Bukti Hamil Anak Faisal Harris?",1
Griezmann Minta Pendukung Barcelona Sabar Nantikan Trio MSG ,0
"Saat ""Baut, Botol, hingga Roti"" Adu Cepat di Jakarta Kizuna Ekiden 2019",0
Video Jungkook BTS Diteriaki Suruh Potong Rambut dan Hapus Tato Bikin Netizen Geram,1
MUI Apresiasi Mendag Revisi Permen Halal Daging Impor,0
Daihatsu Sigra Facelift Ada yang Tidak Naik Harga,0
Duka Bunga Citra Lestari dan Artis-Artis Indonesia atas Meninggalnya BJ Habibie,0
Merinding! Ini Makna Tulisan Terakhir Ustadz Arifin Ilham,1
"Napoli Vs Sampdoria, Dries Mertens Samai Rekor Pribadi di San Paolo",0
Khofifah dan Ganjar Sepakat Kelola Sungai Bengawan Solo,0
Jejak BJ Habibie di Dirgantara Indonesia,0
Prediksi Liga 1: Kalteng Putra vs Persebaya Surabaya,0
DPR Cecar Capim Alexander Marwata soal Keterangan Pers Kasus Irjen Firli,1
"Pemerkosa dan Pembunuh Anak Badui, MUI: Seperti Binatang",0
"Sebabkan Penyakit Paru-Paru Serius, New York Larang Rokok Elektrik Beraroma ",0
"Lirik Lagu , Versi Bahasa Inggris dari Emma Heestres",1
Bus Tabrak Pemotor Hingga Meninggal di Sragen,0
Klasemen Kualifikasi Piala Dunia 2022 Grup G: Timnas Indonesia Terpuruk,1
Begini Komentar Demokrat Soal Momen Salaman Megawati-AHY yang Canggung,1
"Catatan Impresif Cristiano Ronaldo ke Gawang Atletico, Bakal Berlanjut?",1
"Lee Tae Sun Beber Rasanya Bintangi 'Hotel Del Luna', Ungkap Tujuan Sebagai Aktor",1
Kedubes Inggris Sampaikan Belasungkawa Wafatnya Habibie,0
John Krasinski Umumkan 'A Quiet Place 2' Rampungkan Proses Syuting,1
Dua Orang Terluka Akibat Kebakaran Apartemen Kalibata City ,0
"Dimabuk Cinta, Lee Sang Yoon dan Jang Nara Ciuman Super Hot di Teaser 'VIP'",1
Video Eksklusif Test Drive Mobil Esemka Usai Diresmikan Jokowi,0
5 Zodiak yang Dikenal Sangat Manja dan Menggemaskan,1
"Bongkar Kasus Uang Palsu, Polres Mataram Raih Penghargaan dari BI",0
"Soal Kasus Kematian Mahasiswa Saat Demo, DPR: Polisi Harus Bertanggung Jawab",0
Presiden Yamaha Jadi Korban Perombakan Internal untuk Perbaiki Hasil di MotoGP,1
BNN Depok Kerja Sama dengan Pramuka Berantas Narkoba  ,0
5 Cara Mendidik Anak Agar Lebih Disiplin Sejak Dini,1
Sound On! Dengerin Nikmatnya Para Influencers Seruput Nongshim Ramyun,1
"Rajin Baca Surat-Surat Ini, Seorang Ibu Bebas dari Jeratan Utang",1
"Cukai Rokok Tahun Depan Naik, Ini Pertimbangan Pemerintah",1
Menteri Budi Kepikiran Ibu Kota Baru Punya Kereta Tanpa Rel dan Masinis,1
Ini 4 Tim yang Lolos dari EURO Futsal Championship 2019 Palembang,1
Komandan IRGC: Iran Akan Balas Setiap Rencana AS,0
"Kekeringan, Gempa, dan Kebakaran Dominasi Bencana Sukabumi",0
Prediksi Liga 1: Bhayangkara FC Vs Bali United,0
"Bejat, Kakek Tukang Potong Rambut Tega Cabuli Murid TK",1
"Spoiler Improvindo di JICOMFEST 2019, Mc Dani Jamin Bakal Bikin Ngakak",1
Ayu Ting Ting Kepergok Goda Ivan Gunawan 'Kode' Sudah Buka Hati dan Siap Dilamar?,1
"Masalah Semakin Panjang, Fairuz A. Rafiq Pernah Alami KDRT Dengan Galih Ginanjar?",1
Kapolri: Vietnam Bisa Jadi Percontohan Menjaga Stabilitas Keamanan,0
"Jadwal Acara TV Hari Ini Kamis 19 September 2019, Ada The Voice Indonesia di GTV, Rosi di Kompas TV",0
"Sebut Personel Polres Jakbar Satpam, AMPG Pro Bamsoet Akan Dipolisikan",0
Diskominfo Morowali Fasilitasi Ranperbup Masterplan Smart City,0
"Kepalkan Tangan, Ribuan Mahasiswa Bandung Gelar Aksi 'Save KPK'",0
"IHSG Sesi Siang Anjlok 1,82% Saat Rupiah Masih Lesu",0
Mendengarkan Musik Membuat Orang Cepat Menyelesaikan Pekerjaan,0
"Sinopsis Drama LIFE Episode 3, Kegalauan Lee Dong Wook Hadapi Cho Seung Woo",0
"Pemerintah Anggarkan Rp 21,7 Triliun untuk Dana Darurat",0
Apa Saja Ketentuan Penyadapan yang Diatur dalam Draf Revisi UU KPK?,1
Pujian Ustaz Yusuf Mansur untuk Mentan Amran,0
"Suap Pengadaan Migas Masih Tercium di Pertamina, KPK Minta Hentikan Praktik Mafia Migas",0
"Penjaringan PDIP, 13 Balon Wali Kota Tangsel Belum Kembalikan Formulir",0
Emiten Dinilai Khawatir Penerbitan Saham Baru Tak Diserap Pasar,0
Akdong Musician Beberkan Cerita Unik di Balik Pembuatan Album Comeback 'Sailing',1
Daftar Wakil Indonesia di China Open 2019 ,0
Konsistensi Orang Terkaya di Dunia dalam Menjaga Ide Bisnis,0
"Rekor Pertemuan Indonesia Vs Thailand, Gajah Perang Lebih Superior",0
Densus 88 Tangkap Teroris Jaringan ISIS di Jakut yang Rencanakan Pengeboman,0
Mike Lucock: Eyang Habibie Menyapa Hangat Setiap Orang,0
Yusrianto Bawa Gerobak Motor Berisi Galon Saat Serahkan Formulir Calon Wali Kota Tangsel ,0
"Namanya Disebut Jadi Calon Wali Kota Manado, Enda Ungu Jadikan Pasha Panutan, Sering Ngobrol Politik",1
Polsek Tayan Hilir Amankan Kakek Terduga Pelaku Pencabulan Anak di Bawah Umur,1
"Liverpool Tak Pernah Kalah di Anfield dalam 42 Laga Terakhir, Klopp Enggan Sesumbar",0
Korban Tewas Diduga Akibat Miras Oplosan di Malang Bertambah Jadi 4 Orang,0
Beban Visa Progresif Umrah 300 Riyal Dipertanyakan,0
Ivan Nilai Lia Ladysta Terlalu Ikut Campur Urusan Syahrini,0
"Demo di Mana-mana, Jokowi Sedang Panggil Pejabat-pejabat Ini di Istana",1
"Hutan Terbakar, Orangutan Mengungsi ke Kebun Warga",0
"Ratas di Pekanbaru, Jokowi Sesalkan Satgas Karhutla Tak Tertib ",0
"Peduli Keselamatan Bumi, Kotak Ikutan Tanam Pohon di Ngawi",0
"Sering Menahan Buang Air Kecil, 4 Penyakit Ini Siap Mengintai",1
"Hari Tanpa Bayangan dan Ekuinoks, Sama atau Beda? Ini Penjelasannya",1
KKP: Rencana Reklamasi Harus Disertai Perencanaan yang Akurat,0
KA Rail Clinic Sambangi Wilayah Banyumas,0
"Peras Pembeli Narkoba hingga Rp 500 Juta, Tiga Pegawai BNN Gadungan Ditangkap ",0
Istri yang Bunuh Suami dan Anak Tiri Dapat Inspirasi dari Sinetron,1
"Kritik Aksi Wadah Pegawai KPK, Romli: Bertentangan dengan Aturan yang Ada",0
Megawati: Habibie Pencetak Manusia Unggul Indonesia,0
"11 Drama Korea 2019 yang Tak Boleh Dilewatkan, Masih Gagal Moveon",1
Ini Alasan Museum Sejarah Bentoel di Malang Dijual,1
"Posting Foto Dengan Tagar 'Proud of Akad', Ivan Gunawan Sudah Nikah?",1
Utang Luar Negeri Indonesia Juli 2019 Meningkat Jadi Rp5.553 Triliun,0
"Bertahun-tahun 'Sembunyikan' Anak, Nadya Hutagalung Akhirnya Ekspos Buah Hatinya Ke Media Sosial",1
"Tak Hanya A9, Oppo Rilis A5 2020 yang Lebih Murah",1
"Bebby Fey Bongkar Percakapan Mesumnya dengan YouTuber Ternama, Atta Halilintar: Sibuk Ngarang Cerita",0
"Kim Yohan Ulang Tahun, Member X1 Kompak Rayakan Dengan Pakai Baju Ini",1
"Di Tengah Persaingan Streaming, Bos Disney Mundur dari Apple",1
Seksinya Red Velvet Kompak Pakai Mini Dress hingga Busana Monokrom,1
"Tergeser Mulan cs dari Kursi DPR, Sigit Ibnu Gugat KPU dan Gerindra",0
"Kebakaran Rumah di Grobogan, Pria Penderita Stroke Tewas Terbakar",0
"Haornas 2019, Team Venom Banjarmasin Unjuk Gigi Lewat Otomotif",1
"Beredar Kabar BJ Habibie Meninggal, Suasana RSPAD Sepi",0
KKP: Reklamasi Harus Berpihak pada Kepentingan Masyarakat,0
KPK Harap Jeratan Eks Dirut Petral Bisa Buka Kotak Pandora Mafia Migas,0
Hobi Masak Nicky Tirta Bikin Kenyang Satpam Komplek Rumahnya,1
"Harga Tanah Naik 4 Kali Lipat, Milenial Susah Beli Rumah di Kaltim?",1
"Cegah Brexit Tanpa Perjanjian, Ratu Elizabeth II Setujui RUU No-Deal",0
"Dibalik Kecelakaan di Tol Cipularang, Sosok Wanita Berbaju Merah dan Penumpang Bus Misterius",1
Siap Bersinar di Liga Champions,1
KSPI Tolak Perluasan Jenis Pekerjaan untuk Tenaga Kerja Asing,0
"Duel dengan Begal, Driver Taksi Online Kritis Dihujani Tikaman",1
Selena Gomez Ternyata Malah Lega Saat Didiagnosa Alami Gangguan Mental,1
"Penemuan Mayat Bayi di Rumah Kosong, Warga Suradita Histeris",0
"Disebut Masuk Islam Karena Sabrina, Deddy Corbuzier: Cemen Amat",1
"Sinopsis Sinetron 'ORANG KETIGA' Tayang Senin, 22 April 2019",0
"BJ Habibie Meninggal, Persebaya: Selamat Jalan Eyang....",1
"Nikita Mirzani: Kalau Menyangkut Anak, Mau Tua atau Muda Saya Lawan!",0
Hanura Kecewa Tak Dapat Kue Kekuasaan,0
"Saling Melengkapi, 4 Pasangan Zodiak Ini Jarang Bertengkar",1
Penurunan Penjualan Mobil di 2019 Berdampak ke Asuransi,0
Ahli Fengshui Prediksikan Bulan Baik Bagi Pernikahan Jessica Iskandar dan Richard Kyle,1
"Chelsea Islan Diduga Pacaran dengan Rob Clinton Kardinal, Ibunda Beri Restu?",1
 Atta Halilintar Justru Asyik Ngemong Adik-adik Aurel Hermansyah Di Tengah Keributan Kabar Miring,1
"Kabut Asap Makin Pekat, Siang Hari Berasa Malam di Pekanbaru",1
"Lepas Rindu Penggemar, Motif Pamela Safitri Jadi Youtuber",1
"BI Bidik Potensi Kerja Sama Rp 1,4 Triliun di Festival Ekonomi Syariah",0
"Usut Sindikat Jual Beli Nomor Antrean Paspor Online, Imigrasi Gandeng Polda",0
"Meghan Markle Rajin Pakai Gaun Daur Ulang Selama Tur Kerajaan, Diduga Sengaja Sindir Haters",1
Kelas Sosial Menengah dan Anak Muda Mulai Melek Blockchain,1
"Lakukan Promosi di Seoul, Robert Downey Jr Dapat Sambutan Hangat",0
Donald Trump Bangun Dinasti Politik Keluarga,0
"Turun ke Jalan, Mahasiswa-Pelajar Tutup Jalan Urip Sumoharjo Makassar",0
"Situasi Kondusif, Blokir Internet di Seluruh Papua Barat Dicabut",0
Hipmi Ingin Pengusaha Muda Jadi Konglomerat Baru Indonesia,0
De Gea Selangkah Lagi Perpanjang Kontrak di MU,0
"Sosialisasikan KB, Anies Baswedan Akui Neneknya Punya Anak 11",0
"Revisi UU KPK, Civitas LIPI: Presiden Pertaruhkan Reputasi",0
"Penasaran, Chelsea Kembali Incar Striker AC Milan?",1
"Asyik, G-Dragon Big Bang Akhiri Wajib Militer Lebih Cepat",1
"Baru Jadi Mualaf, Deddy Corbuzier Terang-Terangan Ajak Coki Pardede Masuk Islam",1
Terpidana Kasus Korupsi Fuad Amin Imron Meninggal Dunia,0
"Sisi Lain Kimi Hime: Dari Keluarga , hingga Korban Pelecehan Seksual",1
5 Film Indonesia Terbaru yang Bikin Kamu #AntiNgaret Berangkat ke Bioskop,1
China Desak AS Berhenti Campur Tangan di Hong Kong,0
Mekanisme Daur Ulang Sampah Elektronik yang Perlu Anda Ketahui,0
"Berakhir Damai, Pengendara Motor yang Hampir Tabrak Anak di Trotoar Dipulangkan",0
"Tertawa saat Ditagih Utang, Iyus Tewas Disabet Celurit",1
Pembangunan Ibu Kota Baru Bisa Tangkal Risiko Resesi?,1
Polisi Selidiki Dugaan Pemerasan dari Model Seksi yang Mengaku Diperkosa Neymar,0
